順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
5,2604,intel,Intel  Core Ultra 7 265 BOX,56860,9979,0.175501,https://www.dospara.co.jp/SBR1886/IC518585.html
11,2603,amd,AMD  Ryzen 7 9850X3D BOX,87980,4373,0.049704,https://www.dospara.co.jp/SBR1882/IC593415.html
12,2554,amd,AMD  Ryzen 7 9800X3D BOX,62180,4208,0.067674,https://www.dospara.co.jp/SBR1882/IC516296.html
13,2555,amd,AMD  Ryzen 7 9700X BOX,38800,3904,0.100619,https://www.dospara.co.jp/SBR1882/IC509913.html
15,2547,amd,AMD  Ryzen 7 7800X3D BOX,48000,3609,0.075188,https://www.dospara.co.jp/SBR1882/IC488570.html
