ID,パーツタイプ,名称,価格,在庫状態,URL
2934,psu,Corsair  RM850x 2024 Cybenetics Gold ATX3.1 CP-9020270-JP (850W),"¥16,900",unknown,https://www.dospara.co.jp/SBR83/IC512479.html
2931,psu,ASRock  Steel Legend SL-850GW (850W),"¥16,973",unknown,https://www.dospara.co.jp/SBR83/IC517289.html
2975,psu,ASUS  TUF-GAMING-850G (850W),"¥16,980",unknown,https://www.dospara.co.jp/SBR83/IC485590.html
2970,psu,Antec  NE1000G M WHITE ATX 3.0 (1000W),"¥16,980",unknown,https://www.dospara.co.jp/SBR83/IC496870.html
2964,psu,NZXT  C850 Gold ATX 3.1 PA-8G2BW-JP (850W ホワイト),"¥16,980",unknown,https://www.dospara.co.jp/SBR83/IC508120.html
2990,psu,ASUS  Prime 850W Gold AP-850G (850W),"¥17,960",unknown,https://www.dospara.co.jp/SBR83/IC497676.html
2929,psu,ドスパラセレクト  1000W-GOLD-ATX31-BK (1000W ブラック),"¥17,980",unknown,https://www.dospara.co.jp/SBR83/IC594774.html
2938,psu,ASRock  Steel Legend SL-1000G (1000W),"¥18,980",unknown,https://www.dospara.co.jp/SBR83/IC517285.html
2950,psu,ドスパラセレクト  1000W-GOLD-ATX31-WH (1000W ホワイト),"¥18,980",unknown,https://www.dospara.co.jp/SBR83/IC594775.html
2976,psu,Corsair  RM850x Shift 2025 CP-9020299-JP (850W),"¥19,602",unknown,https://www.dospara.co.jp/SBR83/IC597656.html
2953,psu,SUPER FLOWER  LEADEX III GOLD 1000W ATX 3.1 SF-1000F14GE (1000W),"¥19,780",unknown,https://www.dospara.co.jp/SBR83/IC556466.html
2958,psu,Corsair  RM1000e 2025 CP-9020297-JP (1000W),"¥19,980",unknown,https://www.dospara.co.jp/SBR83/IC519919.html
2960,psu,NZXT  C1000 Gold ATX 3.1 PA-0G2BB-JP (1000W ブラック),"¥19,980",unknown,https://www.dospara.co.jp/SBR83/IC508121.html
2585,psu,Corsair  RM1000x 2024 Cybenetics Gold ATX3.1 CP-9020271-JP (1000W),"¥20,880",unknown,https://www.dospara.co.jp/SBR83/IC512480.html
2994,psu,Lian-Li  SX Platinum SX0850PW (850W ホワイト),"¥20,980",unknown,https://www.dospara.co.jp/SBR83/IC582766.html
2948,psu,ASRock  Steel Legend SL-1000GW (1000W),"¥21,580",unknown,https://www.dospara.co.jp/SBR83/IC517288.html
2974,psu,Thermaltake  TOUGHPOWER PF3 1050W ATX3.1 PLATINUM PS-TPD-1050FNFAPJ-L (1050W),"¥21,740",unknown,https://www.dospara.co.jp/SBR83/IC526343.html
2586,psu,ASUS  TUF Gaming 750W Gold EVO (TUF-GAMING-750G-EVO),"¥21,800",unknown,https://www.dospara.co.jp/SBR83/IC617815.html
2979,psu,Corsair  RM1000e White 2025 CP-9020294-JP (1000W),"¥22,380",unknown,https://www.dospara.co.jp/SBR83/IC529769.html
2587,psu,ASUS  TUF Gaming 850W Gold EVO (TUF-GAMING-850G-EVO),"¥24,800",unknown,https://www.dospara.co.jp/SBR83/IC617814.html
2954,psu,ASRock  Phantom Gaming PG-1000G (1000W),"¥24,980",unknown,https://www.dospara.co.jp/SBR83/IC518924.html
2995,psu,Thermaltake  TOUGHPOWER SFX/0850W ATX3.1 PLATINUM PS-STP-0850FNFAPJ-1 (850W),"¥25,865",unknown,https://www.dospara.co.jp/SBR755/IC603980.html
2981,psu,ASRock  SL-1200GW (1200W),"¥25,980",unknown,https://www.dospara.co.jp/SBR83/IC547539.html
2973,psu,Seasonic  SRP-FGX102-A5A32SF (1000W ブラック),"¥26,980",unknown,https://www.dospara.co.jp/SBR83/IC607140.html
2993,psu,Thermaltake  TOUGHPOWER PF3 1200W ATX3.1 PLATINUM PS-TPD-1200FNFAPJ-L (1200W),"¥26,980",unknown,https://www.dospara.co.jp/SBR83/IC526344.html
2985,psu,MSI  MAG A1000GL PCIE5 WHITE (1000W ホワイト),"¥30,980",unknown,https://www.dospara.co.jp/SBR83/IC610446.html
2984,psu,CoolerMaster  X Silent Edge Platinum 850 MPS-8501-AZAP-NBJP (850W),"¥59,874",unknown,https://www.dospara.co.jp/SBR83/IC597361.html
2977,psu,ASUS  ROG Thor 1200W Platinum III ROG-THOR-1200P3-GAMING (1200W),"¥67,980",unknown,https://www.dospara.co.jp/SBR83/IC529830.html
2982,psu,ASRock  Taichi TC-1650T (1650W),"¥76,980",unknown,https://www.dospara.co.jp/SBR83/IC518921.html
